ID,evalue best,score best,evalue DUF1229,evalue DUF5935,evalue DUF6032,evalue DUF6337,evalue DUF6369,evalue DUF6418,evalue EpsG,evalue O-ag_pol_Wzy,evalue O-antigen_lig,evalue O_anti_polymase,evalue PEP_O_lig_1,evalue PglL_A,evalue WcaD,evalue WzyA_reduced,evalue WzyA_trimmed,evalue WzyB_reduced,evalue WzyB_trimmed,evalue WzyC_reduced,evalue WzyC_trimmed,evalue WzyE,evalue Wzy_C,evalue Wzy_C_2,evalue Wzy_EPS,evalue Wzy_O6_O28,evalue Wzy_Strepto,evalue glyco_rpt_poly,score DUF1229,score DUF5935,score DUF6032,score DUF6337,score DUF6369,score DUF6418,score EpsG,score O-ag_pol_Wzy,score O-antigen_lig,score O_anti_polymase,score PEP_O_lig_1,score PglL_A,score WcaD,score WzyA_reduced,score WzyA_trimmed,score WzyB_reduced,score WzyB_trimmed,score WzyC_reduced,score WzyC_trimmed,score WzyE,score Wzy_C,score Wzy_C_2,score Wzy_EPS,score Wzy_O6_O28,score Wzy_Strepto,score glyco_rpt_poly,Truth,Model
abaumannii_gi2,WzyA_reduced,WzyA_reduced,inf,inf,inf,inf,inf,inf,2.3847065094359184e-17,inf,inf,inf,inf,inf,inf,1.6050352807838074e-26,inf,50.338683168973155,inf,0.008694980798497442,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,57.276153564453125,0.0,0.0,0.0,0.0,0.0,0.0,87.12887573242188,0.0,-3.156583309173584,0.0,9.023481369018555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WzyA,False
abaumannii_kl100,WzyA_reduced,WzyA_reduced,inf,inf,inf,inf,inf,inf,1.2644102473104494e-33,inf,inf,inf,inf,inf,inf,1.9376113068309683e-46,310.0,4.554108280322102,inf,36.67373680478056,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,110.7649154663086,0.0,0.0,0.0,0.0,0.0,0.0,152.74822998046875,-11.305611610412598,0.2841758728027344,0.0,-2.9261155128479004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WzyA,True
abaumannii_kl105,WzyA_reduced,WzyA_reduced,inf,inf,inf,inf,inf,inf,2.5968941353223803e-30,inf,inf,inf,inf,inf,inf,7.516588581529757e-42,310.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,99.87833404541016,0.0,0.0,0.0,0.0,0.0,0.0,137.630859375,-19.847986221313477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WzyA,True
abaumannii_kl106,WzyA_reduced,WzyA_reduced,inf,inf,inf,inf,inf,inf,1.0564456142600592e-31,inf,inf,inf,inf,inf,inf,4.684946752842001e-43,310.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,104.44849395751953,0.0,0.0,0.0,0.0,0.0,0.0,141.60169982910156,-15.212517738342285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WzyA,True
abaumannii_kl109,WzyA_reduced,WzyA_reduced,inf,inf,inf,inf,inf,inf,7.395131771638898e-05,inf,inf,inf,inf,inf,inf,1.0730202692221089e-20,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,16.223434448242188,0.0,0.0,0.0,0.0,0.0,0.0,67.93836212158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WzyA,True
abaumannii_kl11,WzyA_reduced,WzyA_reduced,inf,inf,inf,inf,inf,inf,6.8636566609477165e-46,inf,inf,inf,inf,inf,inf,1.15140464594918e-58,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,151.07431030273438,0.0,0.0,0.0,0.0,0.0,0.0,193.0261688232422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WzyA,True
abaumannii_kl111,WzyA_reduced,WzyA_reduced,inf,inf,inf,inf,inf,inf,7.461122397114516e-33,inf,inf,inf,inf,inf,inf,8.361229039598012e-39,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,108.23133850097656,0.0,0.0,0.0,0.0,0.0,0.0,127.59517669677734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WzyA,True
abaumannii_kl112,WzyA_reduced,WzyA_reduced,inf,inf,inf,inf,inf,inf,1.5703894334466276e-41,inf,inf,inf,inf,inf,inf,1.6256664970259538e-53,inf,0.0004414971237012811,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,136.7471923828125,0.0,0.0,0.0,0.0,0.0,0.0,176.06045532226562,0.0,13.517930030822754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WzyA,True
abaumannii_kl114,WzyA_reduced,WzyA_reduced,inf,inf,inf,inf,inf,inf,3.3240611840931757e-44,inf,inf,inf,inf,inf,inf,6.031304508294562e-49,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,145.53627014160156,0.0,0.0,0.0,0.0,0.0,0.0,161.0069122314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WzyA,True
abaumannii_kl115,WzyA_reduced,WzyA_reduced,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.047732137943596e-08,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.43921661376953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WzyA,True
