ID,Truth,Model
abaumannii_gi1,WzyC,True
abaumannii_gi2,WzyA,False
abaumannii_kl1,WzyC,True
abaumannii_kl10,WzyC,True
abaumannii_kl100,WzyA,True
abaumannii_kl101,WzyC,True
abaumannii_kl102,WzyB,True
abaumannii_kl103,WzyC,True
abaumannii_kl104,WzyC,True
abaumannii_kl105,WzyA,True
abaumannii_kl106,WzyA,True
abaumannii_kl107,WzyC,True
abaumannii_kl108,WzyC,True
abaumannii_kl109,WzyA,True
abaumannii_kl11,WzyA,True
abaumannii_kl110,WzyB,True
abaumannii_kl111,WzyA,True
abaumannii_kl112,WzyA,True
abaumannii_kl113,WzyC,True
abaumannii_kl114,WzyA,True
abaumannii_kl115,WzyA,True
abaumannii_kl116,WzyA,True
abaumannii_kl117,WzyA,True
abaumannii_kl118,WzyC,True
abaumannii_kl119,WzyA,True
abaumannii_kl12,WzyB,True
abaumannii_kl120,WzyA,True
abaumannii_kl121,WzyA,True
abaumannii_kl122,WzyA,True
abaumannii_kl123,WzyA,True
abaumannii_kl124,WzyC,True
abaumannii_kl125,WzyB,True
abaumannii_kl126,WzyC,True
abaumannii_kl127,WzyA,True
abaumannii_kl128,WzyA,True
abaumannii_kl129,WzyA,True
abaumannii_kl13,WzyB,True
abaumannii_kl130,WzyA,True
abaumannii_kl131,WzyC,True
abaumannii_kl132,WzyC,True
abaumannii_kl133,WzyC,True
abaumannii_kl134-1,WzyB,True
abaumannii_kl134-2,WzyC,True
abaumannii_kl135,WzyA,True
abaumannii_kl136,WzyB,True
abaumannii_kl137,WzyB,True
abaumannii_kl138,WzyA,True
abaumannii_kl139,WzyB,True
abaumannii_kl14,WzyB,True
abaumannii_kl140,WzyC,True
abaumannii_kl141,WzyA,True
abaumannii_kl142,WzyA,True
abaumannii_kl143,WzyA,True
abaumannii_kl144,WzyA,True
abaumannii_kl145,WzyC,True
abaumannii_kl146,WzyB,True
abaumannii_kl147,WzyB,True
abaumannii_kl148,WzyA,True
abaumannii_kl149,WzyA,True
abaumannii_kl15,WzyB,True
abaumannii_kl150,WzyC,True
abaumannii_kl151,WzyC,True
abaumannii_kl152,WzyC,True
abaumannii_kl153,WzyC,True
abaumannii_kl154,WzyB,True
abaumannii_kl155,WzyC,True
abaumannii_kl156,WzyC,True
abaumannii_kl157,WzyB,True
abaumannii_kl158,WzyB,True
abaumannii_kl159,WzyA,True
abaumannii_kl16,WzyC,True
abaumannii_kl160,WzyA,True
abaumannii_kl161,WzyC,True
abaumannii_kl162,WzyA,True
abaumannii_kl163,WzyA,True
abaumannii_kl164,WzyA,True
abaumannii_kl165,WzyA,True
abaumannii_kl166,WzyA,True
abaumannii_kl167,WzyC,True
abaumannii_kl168,WzyA,True
abaumannii_kl169,WzyA,True
abaumannii_kl17,WzyB,True
abaumannii_kl170,WzyA,True
abaumannii_kl171,WzyC,True
abaumannii_kl172,WzyB,True
abaumannii_kl173,WzyA,True
abaumannii_kl174,WzyC,True
abaumannii_kl175,WzyC,True
abaumannii_kl176,WzyA,True
abaumannii_kl177,WzyA,True
abaumannii_kl178,WzyA,True
abaumannii_kl179,WzyB,True
abaumannii_kl18,WzyB,True
abaumannii_kl180,WzyC,True
abaumannii_kl181,WzyA,True
abaumannii_kl182,WzyC,True
abaumannii_kl183,WzyA,True
abaumannii_kl184,WzyB,True
abaumannii_kl185,WzyC,True
abaumannii_kl186,WzyA,True
abaumannii_kl187,WzyC,True
abaumannii_kl188,WzyC,True
abaumannii_kl189,WzyA,True
abaumannii_kl190,WzyC,True
abaumannii_kl191,WzyB,True
abaumannii_kl192,WzyB,True
abaumannii_kl193,WzyA,True
abaumannii_kl194,WzyB,True
abaumannii_kl195,WzyA,True
abaumannii_kl196,WzyA,True
abaumannii_kl197,WzyA,True
abaumannii_kl198,WzyA,True
abaumannii_kl199,WzyC,True
abaumannii_kl2,WzyA,True
abaumannii_kl20,WzyC,True
abaumannii_kl200,WzyA,True
abaumannii_kl201,WzyB,True
abaumannii_kl202,WzyB,True
abaumannii_kl203,WzyB,True
abaumannii_kl204,WzyB,True
abaumannii_kl205,WzyC,True
abaumannii_kl206,WzyA,True
abaumannii_kl207,WzyB,True
abaumannii_kl208,WzyC,True
abaumannii_kl209,WzyC,True
abaumannii_kl21,WzyC,True
abaumannii_kl210,WzyC,True
abaumannii_kl211,WzyA,True
abaumannii_kl212,WzyB,True
abaumannii_kl213,WzyC,True
abaumannii_kl214,WzyB,True
abaumannii_kl215,WzyC,True
abaumannii_kl216,WzyA,True
abaumannii_kl217,WzyA,True
abaumannii_kl218,WzyA,True
abaumannii_kl219,WzyB,True
abaumannii_kl22,WzyA,True
abaumannii_kl220,WzyA,True
abaumannii_kl221,WzyC,True
abaumannii_kl222,WzyB,True
abaumannii_kl223,WzyB,True
abaumannii_kl224,WzyA,True
abaumannii_kl225,WzyA,True
abaumannii_kl226,WzyB,True
abaumannii_kl227,WzyB,True
abaumannii_kl228,WzyB,True
abaumannii_kl229,WzyC,True
abaumannii_kl23,WzyB,True
abaumannii_kl230,WzyC,True
abaumannii_kl231,WzyB,True
abaumannii_kl232,WzyB,True
abaumannii_kl233,WzyC,True
abaumannii_kl234,WzyA,True
abaumannii_kl235,WzyB,True
abaumannii_kl236,WzyB,True
abaumannii_kl237,WzyB,True
abaumannii_kl238,WzyA,True
abaumannii_kl239,WzyC,True
abaumannii_kl24,Missing,True
abaumannii_kl240,WzyC,True
abaumannii_kl241,WzyA,True
abaumannii_kl25,WzyB,True
abaumannii_kl26,WzyA,True
abaumannii_kl27,WzyA,True
abaumannii_kl28,WzyA,True
abaumannii_kl29,WzyA,True
abaumannii_kl3,WzyA,True
abaumannii_kl30,WzyC,True
abaumannii_kl31,WzyC,True
abaumannii_kl32,WzyA,True
abaumannii_kl33,WzyB,True
abaumannii_kl34,WzyC,True
abaumannii_kl35,WzyA,True
abaumannii_kl36,WzyA,True
abaumannii_kl37,WzyA,True
abaumannii_kl38,WzyA,True
abaumannii_kl4,WzyB,True
abaumannii_kl40,WzyB,True
abaumannii_kl41,WzyA,True
abaumannii_kl42,WzyA,True
abaumannii_kl43,WzyB,True
abaumannii_kl44,WzyC,True
abaumannii_kl45,WzyB,True
abaumannii_kl46,WzyA,True
abaumannii_kl47,WzyB,True
abaumannii_kl48,WzyA,True
abaumannii_kl49,WzyB,True
abaumannii_kl5,WzyA,True
abaumannii_kl50,WzyC,True
abaumannii_kl51,WzyA,True
abaumannii_kl52,WzyA,True
abaumannii_kl53,WzyA,True
abaumannii_kl54,WzyA,True
abaumannii_kl55,WzyA,True
abaumannii_kl56,WzyA,True
abaumannii_kl57,WzyB,True
abaumannii_kl58,WzyA,True
abaumannii_kl59,WzyA,True
abaumannii_kl6,WzyB,True
abaumannii_kl60,WzyA,True
abaumannii_kl61,WzyA,True
abaumannii_kl62,WzyC,True
abaumannii_kl63,WzyB,True
abaumannii_kl64,WzyA,True
abaumannii_kl65,WzyC,True
abaumannii_kl66,WzyB,True
abaumannii_kl67-1,WzyB,True
abaumannii_kl67-2,WzyC,True
abaumannii_kl68,WzyC,True
abaumannii_kl69,WzyC,True
abaumannii_kl7,WzyA,True
abaumannii_kl70,WzyA,True
abaumannii_kl71,WzyA,True
abaumannii_kl72,WzyA,True
abaumannii_kl73,WzyB,True
abaumannii_kl74,WzyA,True
abaumannii_kl75,WzyB,True
abaumannii_kl76,WzyC,True
abaumannii_kl77,WzyB,True
abaumannii_kl78,WzyB,True
abaumannii_kl79,WzyA,True
abaumannii_kl8,WzyA,True
abaumannii_kl80,WzyA,True
abaumannii_kl81,WzyA,True
abaumannii_kl82,WzyC,True
abaumannii_kl83,WzyA,True
abaumannii_kl84,WzyB,True
abaumannii_kl85,WzyA,True
abaumannii_kl86,WzyA,True
abaumannii_kl87,WzyA,True
abaumannii_kl88,WzyA,True
abaumannii_kl89,WzyA,True
abaumannii_kl9,WzyA,True
abaumannii_kl90,WzyA,True
abaumannii_kl91,WzyB,True
abaumannii_kl92,WzyC,True
abaumannii_kl93,WzyA,True
abaumannii_kl94,WzyA,True
abaumannii_kl95,WzyC,True
abaumannii_kl96,WzyA,True
abaumannii_kl97,WzyB,True
abaumannii_kl98,WzyA,True
abaumannii_kl99,WzyC,True
abaumannii_pgll_wp_272749414.1,ligases,True
abaumannii_ph1,WzyA,True
abaumannii_ph2,WzyC,True
abaumannii_ph3,Missing,True
abaumannii_ph4,Missing,True
abaumannii_pilo_wp_000914629.1,ligases,True
arnt_waal_q1ldt6,ligases,True
citrobacter_o12_awu66636.1,WzyC,True
citrobacter_o16_awu66650.1,WzyA,True
citrobacter_o22_awu66665.1,WzyB,True
citrobacter_o23_awu66675.1,WzyB,True
citrobacter_o24_awu66681.1,WzyC,True
citrobacter_o38_awu66741.1,WzyC,True
citrobacter_o41_awu66755.1,WzyA,True
cupriavidus_metallidurans_waal_q1lju1,ligases,True
ecloacae_o10_qhr93177.1,WzyB,True
ecloacae_o11_qhr93191.1,WzyB,True
ecloacae_o12_qhr93204.1,WzyB,True
ecloacae_o13_qhr93215.1,WzyA,True
ecloacae_o14_qhr93227.1,WzyB,True
ecloacae_o15_qhr93244.1,WzyA,True
ecloacae_o16_qhr93256.1,WzyB,True
ecloacae_o17_qhr93266.1,WzyB,True
ecloacae_o18_qhr93279.1,WzyB,True
ecloacae_o19_qhr93285.1,WzyB,True
ecloacae_o1_qhr93073.1,WzyC,True
ecloacae_o20_qhr93298.1,WzyA,True
ecloacae_o21_qhr93310.1,WzyB,True
ecloacae_o22_qhr93318.1,WzyA,True
ecloacae_o24_qhr93343.1,WzyB,True
ecloacae_o26_qhr93353.1,WzyA,True
ecloacae_o27_qhr93376.1,WzyB,True
ecloacae_o30_qhr93392.1,WzyC,True
ecloacae_o3_qhr93084.1,WzyC,True
ecloacae_o4_qhr93104.1,WzyA,True
ecloacae_o5_qhr93118.1,WzyB,True
ecloacae_o6_qhr93127.1,WzyC,True
ecloacae_o7_qhr93136.1,WzyA,True
ecloacae_o8_qhr93146.1,WzyC,True
ecloacae_o9_qhr93163.1,WzyB,True
ecoli__adi43263.1,Missing,True
ecoli__bau71586.1,Missing,True
ecoli__bav90458.1,Missing,True
ecoli_eca_pay77806.1,WzyB,True
ecoli_o100_aig62814.1,WzyC,True
ecoli_o102_afs33314.1,WzyC,True
ecoli_o103_aas73171.1,WzyA,True
ecoli_o104_aak64372.1,WzyA,True
ecoli_o105_aca24829.1,WzyA,True
ecoli_o106_aay23745.1,WzyB,True
ecoli_o107_ach97132.1,WzyB,True
ecoli_o108_ajr19457.1,WzyB,True
ecoli_o109_adr74237.1,WzyC,True
ecoli_o10_aig62532.1,WzyA,True
ecoli_o110_baq01533.1,WzyC,True
ecoli_o111_aad46730.1,WzyC,True
ecoli_o112ab_acd37086.1,WzyA,True
ecoli_o112ac_acd37014.1,WzyC,True
ecoli_o113_aad50486.1,WzyA,True
ecoli_o114_aat77177.1,WzyB,True
ecoli_o115_adn43838.1,WzyA,True
ecoli_o116_baq01563.1,WzyA,True
ecoli_o117_ach97143.1,WzyB,True
ecoli_o118_abm53642.1,WzyA,True
ecoli_o119_adb02825.1,WzyB,True
ecoli_o11_adv17650.1,WzyA,True
ecoli_o120_baq01584.1,WzyA,True
ecoli_o121_afc91472.1,WzyB,True
ecoli_o123_baq02224.1,WzyB,True
ecoli_o124_acd37138.1,WzyA,True
ecoli_o125ab_akm71200.1,WzyB,True
ecoli_o126_abe98419.1,WzyA,True
ecoli_o127_aar90892.1,WzyB,True
ecoli_o128_aao37701.1,WzyA,True
ecoli_o129_acd37181.1,WzyC,True
ecoli_o12_aig62543.1,WzyA,True
ecoli_o130_acd37157.1,WzyC,True
ecoli_o131_aig62402.1,WzyA,True
ecoli_o132_aig62486.1,WzyC,True
ecoli_o133_aig62394.1,WzyB,True
ecoli_o134_baq01687.1,WzyC,True
ecoli_o135_acd37173.1,WzyC,True
ecoli_o136_aig62419.1,WzyC,True
ecoli_o137_aig62424.1,WzyC,True
ecoli_o138_aaz85713.1,WzyC,True
ecoli_o139_aig62435.1,WzyB,True
ecoli_o13_baq02138.1,WzyC,True
ecoli_o140_aig62480.1,WzyA,True
ecoli_o141_abi98976.1,WzyA,True
ecoli_o142_agn91838.1,WzyB,True
ecoli_o143_aca24764.1,WzyC,True
ecoli_o144_aig62452.1,WzyA,True
ecoli_o145_aax58762.1,WzyC,True
ecoli_o146_abe98437.1,WzyC,True
ecoli_o147_abi98986.1,WzyC,True
