Genus/species/complex	Serotype	NCBI accession no.	Length	TMS	Original HMM detected (score >20)
Abaumannii	GI1		374	12	PF04932.20
Abaumannii	GI2		342	11	-
Abaumannii	KL1		385	12	PF04932.20
Abaumannii	KL10		416	12	-
Abaumannii	KL100		365	12	PF14897.12
Abaumannii	KL101		359	12	PF04932.20
Abaumannii	KL102		455	12	PF14296.11
Abaumannii	KL103		378	12	-
Abaumannii	KL104		378	12	-
Abaumannii	KL105		344	12	PF14897.12
Abaumannii	KL106		344	12	PF14897.12
Abaumannii	KL107		385	12	PF04932.20
Abaumannii	KL108		365	12	-
Abaumannii	KL109		311	11	-
Abaumannii	KL11		354	12	PF14897.12
Abaumannii	KL110		425	12	TIGR04370.1
Abaumannii	KL111		353	12	PF14897.12
Abaumannii	KL112		350	12	PF14897.12
Abaumannii	KL113		397	11	PF04932.20
Abaumannii	KL114		369	12	PF14897.12
Abaumannii	KL115		368	10	-
Abaumannii	KL116		346	11	PF14897.12
Abaumannii	KL117		330	11	PF14897.12
Abaumannii	KL118		417	12	PF04932.20
Abaumannii	KL119		357	12	PF14897.12
Abaumannii	KL12		425	12	TIGR04370.1
Abaumannii	KL120		329	11	-
Abaumannii	KL121		329	11	PF14897.12
Abaumannii	KL122		355	12	PF14897.12
Abaumannii	KL123		353	12	PF14897.12
Abaumannii	KL124		396	12	-
Abaumannii	KL125		436	12	TIGR04370.1
Abaumannii	KL126		414	12	PF04932.20
Abaumannii	KL127		398	11	PF14897.12
Abaumannii	KL128		398	11	PF14897.12
Abaumannii	KL129		322	11	PF14897.12
Abaumannii	KL13		342	10	PF01901.21
Abaumannii	KL130		409	11	PF14897.12
Abaumannii	KL131		390	12	PF04932.20
Abaumannii	KL132		416	12	-
Abaumannii	KL133		396	12	-
Abaumannii	KL134-1		420	10	PF14296.11
Abaumannii	KL134-2		370	12	-
Abaumannii	KL135		357	12	PF14897.12
Abaumannii	KL136		433	12	TIGR04370.1
Abaumannii	KL137		473	12	TIGR04370.1
Abaumannii	KL138		357	12	PF14897.12
Abaumannii	KL139		460	12	PF14296.11
